officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Coimbatore H.O,641001,H.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2301325,,Coimbatore H.O,76.96347225306522,10.9999687967088
Gandhipuram S.O,641012,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2232323,,Coimbatore H.O,76.96153764697706,11.019063326262101
Peelamedu S.O,641004,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2573456,,Coimbatore H.O,76.99688116969087,11.029014588613355
Saibaba Colony S.O,641011,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2456789,,Coimbatore H.O, 76.94924381438217,11.023602344854067
R.S. Puram S.O,641002,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2234567,,Coimbatore H.O,76.943885,11.005515
Ukkadam S.O,641008,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2367890,,Coimbatore H.O,76.947332,10.995749
Ganapathy S.O,641006,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2567890,,Coimbatore H.O,76.967870,11.047842
Tatabad S.O,641012,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2277890,,Coimbatore H.O,76.962890,11.022724
Town Hall S.O,641001,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2377890,,Coimbatore H.O,76.963672,11.002102
Peelamedu Pudur S.O,641004,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2477890,,Coimbatore H.O,77.013563,11.038013
Singanallur S.O,641005,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2577890,,Coimbatore H.O,77.011672,10.997283
Saravanampatti S.O,641035,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2677890,,Coimbatore H.O,77.017004,11.086610
Rathinapuri S.O,641027,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2377890,,Coimbatore H.O,76.973820,11.030087
Sivanandhapuram S.O,641017,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2777890,,Coimbatore H.O,76.940836,11.032275
Telungupalayam S.O,641039,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2877890,,Coimbatore H.O,76.931571,11.008736
Kuniamuthur S.O,641008,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2977890,,Coimbatore H.O,76.942505,10.957724
Vadavalli S.O,641041,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2577890,,Coimbatore H.O,76.874479,11.013611
Thudiyalur S.O,641034,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2677890,,Coimbatore H.O,76.939416,11.084256
Perur S.O,641010,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2277890,,Coimbatore H.O,76.926837,10.979719
Kavundampalayam S.O,641030,S.O,Delivery,Coimbatore,Western,Tamil Nadu,Coimbatore,Coimbatore,Tamil Nadu,0422-2177890,,Coimbatore H.O,76.943925,11.056182
