Name,Latitude,Longitude,Address
India Post,13.0016131,80.196962,"252W+PV5, 16, Chennai - Theni Hwy, Ramapuram, Alandur, Chennai, Tamil Nadu 600016"
post Office,13.0296736,80.1821862,"1, 73, Bajanai Kovil St, Azhakapuri Nagar, Ramapuram, Illuppur, Chennai, Tamil Nadu 631204"
Ramapuram Sub Post Office,13.0301731,80.1792726,"Corporation Office, Bajanai Kovil St, Mullai Nagar, Ramapuram, Chennai, Tamil Nadu 600089"
Nandambakkam Kudiyiruppu S.O,13.0148063,80.1921574,"1, Mount Poonamallee Rd, Ramapuram, Nandambakkam, Tamil Nadu 600089"
Manapakkam Post Office,13.0154729,80.1747297,"No. 1/2, Panchayat Complex, Manappakkam Main Road, Ambedkar Nagar, Manapakkam, Chennai, Tamil Nadu 600125"
Speed Post Centre,13.0017529,80.1969381,"St. Thomas Mount Head Post Office Complex, G.S.T. Road, Near Kathipara, Alandur, 16, Chennai - Theni Hwy, Alandur, Chennai, Tamil Nadu 600016"
Mugalivakkam Post Office,13.0236247,80.169566,"2, 3rd Main Rd, Sabari Nagar Extension, Mugalivakkam, Chennai, Tamil Nadu 600125"
Alwarthirunagar Post Office,13.0424042,80.1810585,"25RJ+XG8, Janaki Nagar, Alwartirunagar, Valasaravakkam, Chennai, Tamil Nadu 600087"
Post Office,13.0421283,80.171414,"5, Thiruvalluvar Salai, Bhuvaneshwari Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087"
Rajapuram post office,13.0300471,80.1778777,"Anandam Nagar Main Rd, near bus stand, Mullai Nagar, Ramapuram, Chennai, Tamil Nadu 614806"
Post Office Quarters,13.001314,80.1970466,"No.10, Chennai - Theni Hwy, Parangi Malai, Alandur, Chennai, Tamil Nadu 600016"
Alandur constituency MLA Office,13.0038364,80.2027703,"2633+G6M, Karpaga Vinayagar Koil St, Ramapuram, Mela Ilandaikulam, Alandur, Chennai, Tamil Nadu 600016"
Dhg,13.031694,80.1814042,"25JJ+MMF, Thiru Nagar, Ramapuram, Chennai, Tamil Nadu 600089"
Porur Sub Post Office,13.0303539,80.1636952,"25J7+4HX, Sakthi Nagar Main Rd, Sakthi Nagar, Porur, Chennai, Tamil Nadu 600116"
Indian Post,13.0019722,80.2055825,"2624+Q8Q, MKN Rd, Ramapuram, Mela Ilandaikulam, Alandur, Chennai, Tamil Nadu 600016"
